日期,名称,代码,当前价,涨幅(%),EMA200,ADX,建议止损价,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-12-19,拓山重工,001226,43.79,1.3,33.36,51.62,40.13,3.6,148.39,32.7,14.86,62.49
2025-12-19,腾达科技,001379,25.62,10.0,21.28,21.32,21.76,19.63,60.78,51.24,17.24,13.11
2025-12-19,神剑股份,002361,8.17,9.96,6.42,37.36,7.11,30.98,192.2,77.7,66.11,51.3
2025-12-19,通鼎互联,002491,7.16,9.98,5.26,43.14,5.81,23.5,-100.89,88.07,84.24,39.3
2025-12-19,众兴菌业,002772,14.66,2.59,9.15,26.63,12.9,8.87,21.16,57.65,57.19,107.06
2025-12-19,翔鹭钨业,002842,12.65,4.89,9.4,32.02,11.17,13.32,59.95,41.39,33.96,103.7
2025-12-19,泰永长征,002927,19.82,2.96,15.5,32.83,17.58,10.95,99.75,44.24,43.75,34.46
2025-12-19,首旅酒店,600258,17.12,2.95,14.51,28.41,15.7,2.47,19.0,191.16,191.16,19.64
2025-12-19,航发科技,600391,31.36,10.0,26.43,25.98,26.87,13.07,264.83,103.53,103.53,57.98
2025-12-19,新世界,600628,9.11,2.47,7.54,25.95,8.32,18.83,68.55,58.93,58.93,12.05
2025-12-19,百花医药,600721,11.33,7.8,8.26,42.4,9.62,12.28,100.01,43.57,43.57,71.93
2025-12-19,银座股份,600858,6.86,4.89,5.59,32.24,5.96,15.78,30.36,35.68,35.5,24.5
2025-12-19,中材国际,600970,10.28,0.88,9.09,20.3,9.75,1.38,9.75,269.52,231.49,13.84
2025-12-19,汇嘉时代,603101,10.9,2.35,8.92,23.67,9.46,6.71,47.82,51.27,51.27,17.46
2025-12-19,赛伍技术,603212,14.67,4.79,11.28,21.97,13.1,13.36,-41.15,64.18,64.18,44.11
